year,country_code,event_type,total
1997,AGO,14,44
1997,AGO,18,51
1997,AGO,19,166
1997,BDI,14,2
1997,BDI,18,93
1997,BDI,19,106
1997,BEN,14,2
1997,BFA,14,4
1997,BWA,14,1
1997,CAF,14,10
1997,CAF,18,5
1997,CAF,19,22
1997,CIV,14,11
1997,CIV,18,2
1997,CIV,19,1
1997,CMR,14,1
1997,CMR,18,2
1997,CMR,19,11
1997,COD,14,31
1997,COD,18,45
1997,COD,19,102
1997,COG,14,7
1997,COG,18,9
1997,COG,19,66
1997,DJI,19,1
1997,DZA,18,115
1997,DZA,19,26
1997,EGY,14,8
1997,EGY,18,12
1997,EGY,19,20
1997,ERI,19,2
1997,ETH,14,2
1997,ETH,18,7
1997,ETH,19,12
1997,GAB,19,1
1997,GHA,14,2
1997,GHA,19,3
1997,GMB,14,1
1997,GMB,18,1
1997,GMB,19,1
1997,GNB,14,2
1997,GNQ,18,3
1997,KEN,14,45
1997,KEN,18,49
1997,KEN,19,47
1997,LBR,14,2
1997,LBR,18,1
1997,LBR,19,10
1997,LBY,18,2
1997,LSO,14,1
1997,LSO,18,1
1997,LSO,19,2
1997,MAR,14,4
1997,MAR,18,5
1997,MAR,19,1
1997,MDG,14,1
1997,MDG,19,4
1997,MLI,14,12
1997,MLI,18,1
1997,MLI,19,1
1997,MOZ,14,10
1997,MOZ,18,2
1997,MRT,14,4
1997,MRT,19,1
1997,MWI,14,1
1997,NAM,14,8
1997,NER,14,10
1997,NER,18,7
1997,NER,19,10
1997,NGA,14,31
1997,NGA,18,30
1997,NGA,19,78
1997,RWA,14,5
1997,RWA,18,87
1997,RWA,19,31
1997,SDN,14,20
1997,SDN,18,18
1997,SDN,19,209
1997,SEN,14,4
1997,SEN,18,16
1997,SEN,19,31
1997,SLE,18,260
1997,SLE,19,257
1997,SOM,18,16
1997,SOM,19,14
1997,SWZ,14,5
1997,TCD,14,1
1997,TCD,18,9
1997,TCD,19,3
1997,TGO,14,7
1997,TGO,18,2
1997,TZA,18,4
1997,TZA,19,1
1997,UGA,14,1
1997,UGA,18,25
1997,UGA,19,64
1997,ZAF,14,50
1997,ZAF,18,16
1997,ZAF,19,11
1997,ZMB,14,9
1997,ZMB,18,2
1997,ZMB,19,1
1997,ZWE,14,19
1997,ZWE,18,2
1998,AGO,14,3
1998,AGO,18,105
1998,AGO,19,350
1998,BDI,14,2
1998,BDI,18,58
1998,BDI,19,51
1998,BEN,14,2
1998,BEN,18,1
1998,BFA,14,2
1998,BFA,18,1
1998,BWA,14,1
1998,CAF,14,8
1998,CAF,18,1
1998,CAF,19,7
1998,CIV,14,8
1998,CIV,18,5
1998,CIV,19,1
1998,CMR,14,1
1998,CMR,18,2
1998,CMR,19,3
1998,COD,14,8
1998,COD,18,30
1998,COD,19,217
1998,COG,14,1
1998,COG,18,15
1998,COG,19,22
1998,DJI,19,2
1998,DZA,14,1
1998,DZA,18,20
1998,DZA,19,27
1998,EGY,14,8
1998,EGY,18,4
1998,EGY,19,6
1998,ERI,14,1
1998,ERI,18,33
1998,ERI,19,24
1998,ETH,14,1
1998,ETH,18,16
1998,ETH,19,37
1998,GAB,14,2
1998,GHA,14,3
1998,GHA,19,1
1998,GIN,14,17
1998,GIN,18,9
1998,GIN,19,3
1998,GMB,14,1
1998,GNB,18,1
1998,GNB,19,63
1998,GNQ,18,1
1998,GNQ,19,1
1998,KEN,14,89
1998,KEN,18,57
1998,KEN,19,31
1998,LBR,14,7
1998,LBR,18,9
1998,LBR,19,7
1998,LBY,14,5
1998,LBY,18,4
1998,LBY,19,1
1998,LSO,14,11
1998,LSO,18,7
1998,LSO,19,15
1998,MAR,14,11
1998,MAR,18,2
1998,MDG,14,3
1998,MLI,18,1
1998,MLI,19,2
1998,MOZ,18,1
1998,MRT,14,1
1998,MWI,14,2
1998,MWI,18,3
1998,NAM,14,4
1998,NER,14,7
1998,NER,18,4
1998,NER,19,29
1998,NGA,14,50
1998,NGA,18,45
1998,NGA,19,51
1998,RWA,14,1
1998,RWA,18,58
1998,RWA,19,78
1998,SDN,14,13
1998,SDN,18,20
1998,SDN,19,221
1998,SEN,14,4
1998,SEN,18,15
1998,SEN,19,15
1998,SLE,18,509
1998,SLE,19,312
1998,SOM,18,10
1998,SOM,19,16
1998,SWZ,19,4
1998,TCD,14,1
1998,TCD,18,7
1998,TCD,19,4
1998,TGO,14,5
1998,TGO,18,7
1998,TGO,19,1
1998,TUN,14,2
1998,TZA,14,2
1998,TZA,18,2
1998,TZA,19,1
1998,UGA,14,3
1998,UGA,18,119
1998,UGA,19,173
1998,ZAF,14,49
1998,ZAF,18,24
1998,ZAF,19,10
1998,ZMB,14,13
1998,ZMB,18,1
1998,ZWE,14,78
1998,ZWE,18,7
1999,AGO,14,14
1999,AGO,18,94
1999,AGO,19,1230
1999,BDI,18,88
1999,BDI,19,75
1999,BEN,14,1
1999,BEN,18,1
1999,BFA,14,27
1999,BFA,18,2
1999,BFA,19,2
1999,CAF,14,4
1999,CAF,18,3
1999,CAF,19,5
1999,CIV,14,59
1999,CIV,18,4
1999,CIV,19,8
1999,CMR,14,1
1999,CMR,19,1
1999,COD,14,15
1999,COD,18,49
1999,COD,19,391
1999,COG,14,3
1999,COG,18,14
1999,COG,19,51
1999,DJI,14,4
1999,DJI,19,3
1999,DZA,18,25
1999,DZA,19,38
1999,EGY,14,5
1999,EGY,18,2
1999,EGY,19,3
1999,ERI,14,1
1999,ERI,18,12
1999,ERI,19,136
1999,ETH,18,12
1999,ETH,19,61
1999,GAB,14,1
1999,GAB,18,1
1999,GAB,19,1
1999,GHA,14,2
1999,GIN,14,3
1999,GIN,18,19
1999,GIN,19,15
1999,GMB,19,1
1999,GNB,14,4
1999,GNB,18,2
1999,GNB,19,12
1999,KEN,14,60
1999,KEN,18,51
1999,KEN,19,78
1999,LBR,14,3
1999,LBR,18,9
1999,LBR,19,28
1999,LSO,14,2
1999,LSO,18,1
1999,LSO,19,1
1999,MAR,14,15
1999,MDG,14,1
1999,MLI,14,1
1999,MLI,18,2
1999,MLI,19,7
1999,MOZ,14,3
1999,MOZ,18,1
1999,MRT,14,1
1999,MRT,18,1
1999,MRT,19,1
1999,MWI,14,2
1999,NAM,18,6
1999,NAM,19,36
1999,NER,14,5
1999,NER,18,3
1999,NER,19,2
1999,NGA,14,58
1999,NGA,18,48
1999,NGA,19,94
1999,RWA,14,3
1999,RWA,18,5
1999,RWA,19,5
1999,SDN,14,20
1999,SDN,18,29
1999,SDN,19,160
1999,SEN,14,7
1999,SEN,18,11
1999,SEN,19,15
1999,SLE,18,243
1999,SLE,19,216
1999,SOM,18,26
1999,SOM,19,50
1999,SWZ,19,2
1999,TCD,18,1
1999,TCD,19,9
1999,TGO,14,1
1999,TGO,18,2
1999,TUN,14,3
1999,TZA,18,3
1999,TZA,19,4
1999,UGA,14,3
1999,UGA,18,118
1999,UGA,19,119
1999,ZAF,14,31
1999,ZAF,18,21
1999,ZAF,19,18
1999,ZMB,14,2
1999,ZMB,18,5
1999,ZMB,19,4
1999,ZWE,14,26
1999,ZWE,18,15
1999,ZWE,19,1
2000,AGO,14,7
2000,AGO,18,74
2000,AGO,19,237
2000,BDI,14,7
2000,BDI,18,139
2000,BDI,19,344
2000,BEN,14,1
2000,BFA,14,20
2000,BFA,18,1
2000,BFA,19,1
2000,BWA,14,1
2000,CAF,14,9
2000,CAF,18,5
2000,CIV,14,64
2000,CIV,18,36
2000,CIV,19,32
2000,CMR,14,4
2000,CMR,18,4
2000,COD,14,3
2000,COD,18,35
2000,COD,19,168
2000,COG,18,1
2000,COG,19,5
2000,DJI,19,1
2000,DZA,14,2
2000,DZA,18,61
2000,DZA,19,107
2000,EGY,14,33
2000,EGY,18,6
2000,EGY,19,9
2000,ERI,14,4
2000,ERI,18,2
2000,ERI,19,61
2000,ETH,14,10
2000,ETH,18,2
2000,ETH,19,122
2000,GAB,14,2
2000,GHA,14,3
2000,GHA,18,2
2000,GHA,19,5
2000,GIN,14,15
2000,GIN,18,74
2000,GIN,19,69
2000,GMB,14,3
2000,GMB,18,4
2000,GMB,19,2
2000,GNB,14,2
2000,GNB,18,1
2000,GNB,19,5
2000,GNQ,14,1
2000,GNQ,18,1
2000,KEN,14,53
2000,KEN,18,72
2000,KEN,19,63
2000,LBR,14,3
2000,LBR,18,27
2000,LBR,19,53
2000,LBY,14,3
2000,LBY,18,2
2000,LSO,14,2
2000,MAR,14,15
2000,MAR,18,1
2000,MDG,14,2
2000,MDG,18,1
2000,MDG,19,1
2000,MLI,14,1
2000,MLI,18,3
2000,MOZ,14,7
2000,MOZ,18,5
2000,MRT,14,4
2000,MWI,14,8
2000,MWI,18,7
2000,MWI,19,1
2000,NAM,14,2
2000,NAM,18,39
2000,NAM,19,24
2000,NER,14,9
2000,NER,18,1
2000,NGA,14,32
2000,NGA,18,38
2000,NGA,19,89
2000,RWA,18,13
2000,RWA,19,5
2000,SDN,14,24
2000,SDN,18,19
2000,SDN,19,187
2000,SEN,14,36
2000,SEN,18,15
2000,SEN,19,34
2000,SLE,14,1
2000,SLE,18,74
2000,SLE,19,164
2000,SOM,18,45
2000,SOM,19,45
2000,SWZ,14,6
2000,TCD,18,3
2000,TCD,19,17
2000,TGO,14,2
2000,TGO,18,1
2000,TUN,14,5
2000,TZA,14,2
2000,TZA,18,6
2000,TZA,19,8
2000,UGA,14,1
2000,UGA,18,103
2000,UGA,19,137
2000,ZAF,14,54
2000,ZAF,18,17
2000,ZAF,19,19
2000,ZMB,14,4
2000,ZMB,18,9
2000,ZMB,19,5
2000,ZWE,14,16
2000,ZWE,18,263
2000,ZWE,19,7
2001,AGO,14,6
2001,AGO,18,118
2001,AGO,19,189
2001,BDI,14,4
2001,BDI,18,227
2001,BDI,19,374
2001,BEN,18,3
2001,BFA,14,4
2001,CAF,14,2
2001,CAF,18,15
2001,CAF,19,19
2001,CIV,14,12
2001,CIV,18,7
2001,CIV,19,14
2001,CMR,14,4
2001,CMR,18,1
2001,COD,14,26
