Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1272.90091353162,1322.14132753971,1284.12733787726,1376.68637625196,1407.70804076547,1562.8765157744,1587.79206964143,1881.77762573479,2093.74356474335,2037.60860700679,2220.48152554463,2264.3175752325,2249.25373797742,2212.75089885175,2200.76448734821,2202.5708512665,2190.24032132044,2202.27848949912,..
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4927.87741249129,3569.41827511617,3333.03172181427,3673.99917919553,4003.54814868956,4565.02559578827,5011.49331092049,4492.24722801312,4919.7812509814,5589.2235829959,6015.89744428744,6576.04511271096,6895.24122204126,7303.82771503569,7738.54283618405,8208.38002264685,8747.69780961595,9341.13520744122,10119.06831027,10528.7781022196,10973.412375823,11283.0335627206,11461.8872997991,11597.9632735891,11828.232263813,12125.9314807437,12547.928084194,13037.0100155002,13601.3033805754,13961.7965978885,..
Algeria,DZA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8607.11518111478,8297.16144514416,8250.30466906089,7899.58472248303,7668.03894416383,7808.85560549666,7987.74458895066,7946.21366875159,8227.06077741868,8370.92875815272,8571.78973280726,8714.05225815462,9085.45201471556,9616.12494221774,9898.31048976233,10337.6249398825,10359.8321359386,10547.1637390012,10625.0198586265,10610.7114047657,10796.056814131,10901.8802698979,11054.7024680638,11138.9033689379,11329.428687813,11510.7537354979,11637.8978286786,11550.5554568171,11479.4983728015,11349.7005682198,..
American Samoa,ASM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5758.32098938703,5625.25426723131,5125.90229150172,3772.06074601624,3701.22837109739,4121.66871208827,4531.89087208937,4707.63082173677,4771.8769793094,4720.08877462819,4707.44155459161,4746.14207672036,5218.08724482539,5195.55290570415,5568.95913885002,6183.26187738155,6652.09713649169,7309.99030864963,7830.23304625279,7610.31042285072,7692.43691185409,7675.44843203492,8036.69028703327,8140.53120789329,8239.83207659947,8036.41409222015,7568.99722478798,7310.90173803536,6933.50930820608,6653.90767287624,..
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15459.5414666939,15586.930844281,15497.4764026974,15991.8055144048,16697.2117779723,15628.3776268762,16303.7584974753,16828.6005058726,17258.9545908508,17551.3423590772,18395.2437845233,17213.1067366841,17148.8510869382,17957.2127858456,18742.4637405091,19667.9040474994,21839.1828643766,23485.948423444,23101.9314868622,19989.0929126679,18205.9853689337,17604.4171016288,17965.5023271233,17641.5425333279,18104.2414700004,18595.0849042657,19417.9648194984,19840.0761229321,21115.7982687308,21908.4585035162,..
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14144.8862827775,15221.9264156786,16209.4650764483,17312.1821576621,18092.1777292028,17362.6729078357,18104.8574408859,19347.7114152798,19866.4146818584,18981.3346650058,18625.4512647604,17610.9058836486,15523.1722923224,16714.8156823728,18032.7684630281,19426.6068300837,20777.8336728194,22424.3186931208,23103.6583401892,21520.0810753219,23521.4762303945,24647.8451965879,24119.0788063702,24424.3504112585,23550.3053677879,23934.0962820711,23189.7305942385,23562.9188342608,22745.9037844103,22033.9453093203,..
Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5180.05095420166,4616.9329997374,2735.7889227028,2554.17444555965,2757.22929088255,3008.23425566322,3234.06145484876,3378.93580292384,3654.05767007495,3798.67129093073,4048.2578169444,4464.38436771359,5081.51520817243,5823.72767080805,6472.13121424319,7419.85376845739,8464.46855842231,9708.40546575455,10467.5190134887,9052.38981805574,9286.18119017227,9725.27146799164,10397.6907067814,10691.3099550604,11019.8387849338,11321.3557593842,11303.0716996176,12115.0570089389,12714.9581875586,13653.7495326269,..
Aruba,ABW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36605.5961430272,38008.0566852855,38112.9397144793,38490.0550396944,39369.3333518946,38550.6465738568,37659.3818001222,39251.2374254551,39195.5479669575,38910.4168183121,41022.3215541135,38927.2343098463,36822.875345117,36766.5545129317,38984.2183832207,38947.1995751088,39042.9639448297,39593.4734609622,39504.4815067681,35314.9128829597,33941.953877819,34981.8954190133,34329.7742176796,35563.3109602658,35458.6083425146,37276.0804173621,37866.1738534243,38442.4138382323,..,..,..
