country_code,year,ucdp_events
AFG,1989,145
AFG,1990,45
AFG,1991,64
AFG,1992,76
AFG,1993,114
AFG,1994,244
AFG,1995,218
AFG,1996,234
AFG,1997,199
AFG,1998,217
AFG,1999,189
AFG,2000,207
AFG,2001,226
AFG,2002,38
AFG,2003,185
AFG,2004,247
AFG,2005,434
AFG,2006,843
AFG,2007,1033
AFG,2008,1118
AFG,2009,1534
AFG,2010,1844
AFG,2011,2215
AFG,2012,2304
AFG,2013,2063
AFG,2014,3324
AFG,2015,2400
AFG,2016,3075
AFG,2017,4112
AFG,2018,4465
AFG,2019,5168
ALG,1990,1
ALG,1991,4
ALG,1992,120
ALG,1993,269
ALG,1994,350
ALG,1995,395
ALG,1996,123
ALG,1997,128
ALG,1998,383
ALG,1999,221
ALG,2000,248
ALG,2001,80
ALG,2002,225
ALG,2003,209
ALG,2004,222
ALG,2005,73
ALG,2006,91
ALG,2007,128
ALG,2008,111
ALG,2009,193
ALG,2010,92
ALG,2011,126
ALG,2012,124
ALG,2013,73
ALG,2014,45
ALG,2015,48
ALG,2016,30
ALG,2017,26
ALG,2018,10
ALG,2019,9
ANG,1989,260
ANG,1990,181
ANG,1991,19
ANG,1992,38
ANG,1993,220
ANG,1994,322
ANG,1995,76
ANG,1996,29
ANG,1997,35
ANG,1998,110
ANG,1999,245
ANG,2000,145
ANG,2001,124
ANG,2002,71
ANG,2003,36
ANG,2004,19
ANG,2005,13
ANG,2006,12
ANG,2007,22
ANG,2008,11
ANG,2009,9
ANG,2010,4
ANG,2011,4
ANG,2012,3
ANG,2013,1
ANG,2014,6
ANG,2015,3
ANG,2016,18
ANG,2017,24
ANG,2018,6
ANG,2019,16
AUL,1994,3
AUL,1995,10
AUL,1996,1
AUL,1997,1
AUL,1998,9
AUL,1999,3
AUL,2000,8
AUL,2001,1
AZE,1991,3
AZE,1992,190
AZE,1993,79
AZE,1994,59
AZE,1995,15
AZE,1996,3
AZE,1997,3
AZE,1998,4
AZE,1999,6
AZE,2000,7
AZE,2001,5
AZE,2004,3
AZE,2005,23
AZE,2006,10
AZE,2007,11
AZE,2008,7
AZE,2009,6
AZE,2010,14
AZE,2011,20
AZE,2012,17
AZE,2013,11
AZE,2014,33
AZE,2015,50
AZE,2016,32
AZE,2017,21
AZE,2018,18
AZE,2019,12
BAH,2011,24
BFO,2016,1
BFO,2017,26
BFO,2018,46
BFO,2019,135
BNG,1989,20
BNG,1990,26
BNG,1991,35
BNG,1992,28
BNG,1993,18
BNG,1994,5
BNG,1995,13
BNG,1996,22
BNG,1997,11
BNG,1998,10
BNG,1999,17
BNG,2000,2
BNG,2001,26
BNG,2002,4
BNG,2003,15
BNG,2004,37
BNG,2005,64
BNG,2006,72
BNG,2007,13
BNG,2008,10
BNG,2009,8
BNG,2010,8
BNG,2011,1
BNG,2012,2
BNG,2013,41
BNG,2014,3
BNG,2015,300
BNG,2016,483
BNG,2017,22
BNG,2018,18
BNG,2019,2
BOL,1998,1
BOL,2000,9
BOS,1992,382
BOS,1993,613
BOS,1994,443
BOS,1995,418
BRA,1993,4
BRA,1994,6
BRA,1995,8
BRA,1996,3
BRA,1997,10
BRA,1998,3
BRA,1999,12
BRA,2000,11
BRA,2001,10
BRA,2002,17
BRA,2003,7
BRA,2004,12
BRA,2005,16
BRA,2006,3
BRA,2007,9
BRA,2008,5
BRA,2009,3
BRA,2010,2
BRA,2011,3
BRA,2012,2
BRA,2013,1
BRA,2014,1
BRA,2015,8
BRA,2016,2
BRA,2017,64
BRA,2018,90
BRA,2019,263
BUI,1990,1
BUI,1991,10
BUI,1992,3
BUI,1993,5
BUI,1994,19
BUI,1995,90
BUI,1996,85
BUI,1997,86
BUI,1998,72
BUI,1999,93
BUI,2000,188
BUI,2001,115
BUI,2002,194
BUI,2003,153
BUI,2004,81
BUI,2005,90
BUI,2006,53
BUI,2007,25
BUI,2008,22
BUI,2012,2
BUI,2013,1
BUI,2014,3
BUI,2015,28
BUI,2016,14
BUI,2017,39
BUI,2018,42
BUI,2019,38
CAM,1989,46
CAM,1990,25
CAM,1991,18
CAM,1992,17
CAM,1993,82
CAM,1994,73
CAM,1995,105
CAM,1996,89
CAM,1997,51
CAM,1998,38
CAM,1999,1
CAM,2000,4
CAM,2003,1
CAM,2007,1
CAM,2009,1
CAM,2012,2
CAO,1990,1
CAO,1991,1
CAO,1992,3
CAO,1993,5
CAO,1994,8
CAO,1996,3
CAO,1998,4
CAO,2000,4
CAO,2001,2
CAO,2004,1
CAO,2005,3
CAO,2008,1
CAO,2009,1
CAO,2011,1
CAO,2014,2
CAO,2015,349
CAO,2016,39
CAO,2017,80
CAO,2018,195
CAO,2019,206
CDI,2000,1
CDI,2002,3
CDI,2003,1
CDI,2004,5
CDI,2005,1
CDI,2006,1
CDI,2010,9
CDI,2011,77
CDI,2012,3
CDI,2013,2
CEN,1991,1
CEN,1992,1
CEN,1993,3
CEN,1999,1
CEN,2000,1
CEN,2001,22
CEN,2002,14
CEN,2003,5
CEN,2004,2
CEN,2005,6
CEN,2006,42
CEN,2007,23
CEN,2008,3
CEN,2009,16
CEN,2010,18
CEN,2011,15
CEN,2012,14
CEN,2013,188
CEN,2014,434
CEN,2015,148
CEN,2016,71
CEN,2017,212
CEN,2018,78
CEN,2019,65
CHA,1989,5
CHA,1990,22
CHA,1991,6
CHA,1992,31
CHA,1993,15
CHA,1994,17
CHA,1995,17
CHA,1996,3
CHA,1997,8
CHA,1998,9
CHA,1999,11
CHA,2000,14
CHA,2001,5
CHA,2002,9
CHA,2003,4
CHA,2005,1
CHA,2006,27
CHA,2007,16
CHA,2008,17
CHA,2009,8
CHA,2010,4
CHA,2012,14
CHA,2013,3
CHA,2014,24
CHA,2015,30
CHA,2016,33
CHA,2017,37
CHA,2018,170
CHA,2019,48
CHN,1989,3
CHN,1990,3
CHN,1997,2
CHN,1999,3
CHN,2003,1
CHN,2005,2
CHN,2007,1
CHN,2008,16
CHN,2009,3
CHN,2017,2
COL,1989,53
COL,1990,100
COL,1991,128
COL,1992,103
COL,1993,47
COL,1994,70
COL,1995,78
COL,1996,150
COL,1997,181
COL,1998,145
COL,1999,206
COL,2000,338
COL,2001,347
COL,2002,501
COL,2003,243
COL,2004,660
COL,2005,536
COL,2006,119
COL,2007,101
COL,2008,77
COL,2009,83
COL,2010,88
COL,2011,60
COL,2012,37
COL,2013,22
COL,2014,47
COL,2015,32
COL,2016,16
COL,2017,13
COL,2018,57
COL,2019,55
COM,1989,2
COM,1997,2
COM,1998,3
CON,1992,1
CON,1993,10
CON,1994,9
CON,1995,1
CON,1996,2
CON,1997,60
CON,1998,54
CON,1999,48
CON,2001,1
CON,2002,24
CON,2003,6
CON,2005,5
CON,2007,1
CON,2014,1
CON,2015,1
CON,2016,4
CON,2017,3
CRO,1992,32
CRO,1993,55
CRO,1995,86
DJI,1991,6
DJI,1992,10
DJI,1993,8
DJI,1994,3
DJI,1995,1
DJI,1997,1
DJI,1998,2
DJI,1999,8
DJI,2008,2
DJI,2018,1
DJI,2019,2
DRC,1989,3
DRC,1990,4
DRC,1991,8
DRC,1992,11
DRC,1993,20
DRC,1994,7
DRC,1995,13
DRC,1996,190
DRC,1997,130
DRC,1998,107
DRC,1999,155
