country_code,year,event_type,acled_total,ucdp_total,gdelt_total
ABW,2014,14,NA,NA,5
ABW,2016,14,NA,NA,3
ABW,2017,14,NA,NA,1
ABW,2018,14,NA,NA,1
ABW,2019,14,4,NA,NA
ABW,2020,14,NA,NA,1
AFG,1989,19,NA,145,NA
AFG,1990,19,NA,45,NA
AFG,1991,19,NA,64,NA
AFG,1992,18,NA,4,NA
AFG,1992,19,NA,72,NA
AFG,1993,18,NA,9,NA
AFG,1993,19,NA,106,NA
AFG,1994,19,NA,244,NA
AFG,1995,18,NA,1,NA
AFG,1995,19,NA,218,NA
AFG,1996,18,NA,6,NA
AFG,1996,19,NA,228,NA
AFG,1997,18,NA,3,NA
AFG,1997,19,NA,196,NA
AFG,1998,18,NA,20,NA
AFG,1998,19,NA,197,NA
AFG,1999,18,NA,5,NA
AFG,1999,19,NA,184,NA
AFG,2000,18,NA,12,NA
AFG,2000,19,NA,195,NA
AFG,2001,18,NA,33,NA
AFG,2001,19,NA,230,NA
AFG,2002,18,NA,3,NA
AFG,2002,19,NA,91,NA
AFG,2003,18,NA,13,NA
AFG,2003,19,NA,173,NA
AFG,2004,18,NA,24,NA
AFG,2004,19,NA,217,NA
AFG,2005,18,NA,57,NA
AFG,2005,19,NA,373,NA
AFG,2006,18,NA,67,NA
AFG,2006,19,NA,781,NA
AFG,2007,18,NA,66,NA
AFG,2007,19,NA,976,NA
AFG,2008,18,NA,35,NA
AFG,2008,19,NA,1079,NA
AFG,2009,18,NA,64,NA
AFG,2009,19,NA,1450,NA
AFG,2010,18,NA,79,NA
AFG,2010,19,NA,1727,NA
AFG,2011,18,NA,48,NA
AFG,2011,19,NA,2149,NA
AFG,2012,14,NA,NA,877
AFG,2012,18,NA,41,NA
AFG,2012,19,NA,2264,NA
AFG,2013,14,NA,NA,255
AFG,2013,18,NA,48,NA
AFG,2013,19,NA,1878,NA
AFG,2014,14,NA,NA,342
AFG,2014,18,NA,88,NA
AFG,2014,19,NA,2031,NA
AFG,2015,14,NA,NA,602
AFG,2015,18,NA,104,NA
AFG,2015,19,NA,2160,NA
AFG,2016,14,NA,NA,828
AFG,2016,18,NA,107,NA
AFG,2016,19,NA,2316,NA
AFG,2017,14,135,NA,578
AFG,2017,18,298,96,NA
AFG,2017,19,12634,2385,NA
AFG,2018,14,225,NA,540
AFG,2018,18,332,105,NA
AFG,2018,19,13320,3618,NA
AFG,2019,14,62,NA,432
AFG,2019,18,404,130,NA
AFG,2019,19,13203,4552,NA
AFG,2020,14,NA,NA,295
AGO,1997,14,44,NA,NA
AGO,1997,18,51,NA,NA
AGO,1997,19,166,NA,NA
AGO,1998,14,3,NA,NA
AGO,1998,18,105,NA,NA
AGO,1998,19,350,NA,NA
AGO,1999,14,14,NA,NA
AGO,1999,18,94,NA,NA
AGO,1999,19,1230,NA,NA
AGO,2000,14,7,NA,NA
AGO,2000,18,74,NA,NA
AGO,2000,19,237,NA,NA
AGO,2001,14,6,NA,NA
AGO,2001,18,118,NA,NA
AGO,2001,19,189,NA,NA
AGO,2002,14,2,NA,NA
AGO,2002,18,6,NA,NA
AGO,2002,19,18,NA,NA
AGO,2003,14,4,NA,NA
AGO,2003,19,2,NA,NA
AGO,2004,14,3,NA,NA
AGO,2004,18,3,NA,NA
AGO,2004,19,1,NA,NA
AGO,2005,14,1,NA,NA
AGO,2005,19,2,NA,NA
AGO,2006,14,2,NA,NA
AGO,2006,18,1,NA,NA
AGO,2006,19,2,NA,NA
AGO,2007,14,2,NA,NA
AGO,2007,18,7,NA,NA
AGO,2007,19,5,NA,NA
AGO,2008,18,10,NA,NA
AGO,2009,14,2,NA,NA
AGO,2009,18,10,NA,NA
AGO,2009,19,1,NA,NA
AGO,2010,18,6,NA,NA
AGO,2010,19,2,NA,NA
AGO,2011,14,12,NA,NA
AGO,2011,18,6,NA,NA
AGO,2011,19,2,NA,NA
AGO,2012,14,9,NA,29
AGO,2012,18,4,NA,NA
AGO,2012,19,1,NA,NA
AGO,2013,14,11,NA,35
AGO,2013,18,7,NA,NA
AGO,2013,19,1,NA,NA
AGO,2014,14,6,NA,33
AGO,2014,18,1,NA,NA
AGO,2015,14,7,NA,66
AGO,2015,18,1,NA,NA
AGO,2015,19,3,NA,NA
AGO,2016,14,19,NA,45
AGO,2016,18,10,NA,NA
AGO,2016,19,15,NA,NA
AGO,2017,14,44,NA,30
AGO,2017,18,21,NA,NA
AGO,2017,19,19,NA,NA
AGO,2018,14,40,NA,26
AGO,2018,18,19,NA,NA
AGO,2018,19,5,NA,NA
AGO,2019,14,47,NA,12
AGO,2019,18,10,NA,NA
AGO,2019,19,2,NA,NA
AGO,2020,14,NA,NA,13
AIA,2017,14,NA,NA,2
AIA,2018,14,NA,NA,1
ALB,1999,19,NA,8,NA
ALB,2012,14,NA,NA,44
ALB,2013,14,NA,NA,27
ALB,2014,14,NA,NA,44
ALB,2015,14,NA,NA,66
ALB,2016,14,NA,NA,59
ALB,2017,14,NA,NA,145
ALB,2018,14,234,NA,108
ALB,2018,18,1,NA,NA
ALB,2018,19,4,NA,NA
ALB,2019,14,336,NA,114
ALB,2019,18,4,NA,NA
ALB,2019,19,1,NA,NA
ALB,2020,14,NA,NA,21
ALG,1990,19,NA,1,NA
ALG,1991,19,NA,4,NA
ALG,1992,19,NA,120,NA
ALG,1993,18,NA,4,NA
ALG,1993,19,NA,265,NA
ALG,1994,18,NA,7,NA
ALG,1994,19,NA,343,NA
ALG,1995,19,NA,394,NA
ALG,1996,18,NA,1,NA
ALG,1996,19,NA,122,NA
ALG,1997,18,NA,10,NA
ALG,1997,19,NA,118,NA
ALG,1998,18,NA,17,NA
ALG,1998,19,NA,366,NA
ALG,1999,18,NA,19,NA
ALG,1999,19,NA,202,NA
ALG,2000,18,NA,36,NA
ALG,2000,19,NA,212,NA
ALG,2001,18,NA,6,NA
ALG,2001,19,NA,74,NA
ALG,2002,18,NA,88,NA
ALG,2002,19,NA,137,NA
ALG,2003,18,NA,11,NA
ALG,2003,19,NA,198,NA
ALG,2004,18,NA,38,NA
ALG,2004,19,NA,181,NA
ALG,2005,18,NA,4,NA
ALG,2005,19,NA,68,NA
ALG,2006,18,NA,12,NA
ALG,2006,19,NA,79,NA
ALG,2007,18,NA,4,NA
ALG,2007,19,NA,124,NA
